"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pnma8c",4301.19275169377,-0.726555373443032,0.220499867239654,-3.29503769112643,0.000984084796681126,0.0393450711396472
"Gon4l",1526.03792741558,-0.817816270634872,0.252097658070641,-3.24404548972727,0.00117844924302216,0.0437616248368953
"Arid5b",1450.70568741269,-0.832459852769402,0.259213203514193,-3.21148707505489,0.00132049910470705,0.0473772387614822
"Sbno1",5696.26742087691,-0.83399530638792,0.254639697922358,-3.27519751709026,0.00105588121260208,0.0416615807586536
"Tgs1",1190.47766476251,-0.835709968860557,0.233126735351004,-3.58478819515179,0.000337351867936188,0.0189940473059353
"Usp13",848.702422176378,-0.83850754231454,0.262759763118126,-3.19115656204021,0.00141704469781517,0.0495405417261755
"Cmip",9835.88731281468,-0.84732727767985,0.264609246014719,-3.20218318309526,0.00136390235981565,0.0486685737133035
"Fgf11",657.574815524146,-0.851160989876638,0.254303426633934,-3.3470291814112,0.00081682611278069,0.0348255962886851
"Mrps30",967.159999293097,-0.858426752432886,0.263257755253798,-3.26078428954659,0.00111104528081634,0.0427554833527348
"Rsf1",725.519526659104,-0.860685947779966,0.254956357046951,-3.3758167780122,0.000735969132803258,0.0327332070219863
"Mapk1",33495.8980228669,-0.865721400273515,0.270706205038591,-3.1980109216562,0.00138379039406326,0.0489471082210659
"5830417I10Rik",399.708082021961,-0.866377907578163,0.266550146755244,-3.25033738725983,0.0011526816852473,0.0435383511917656
"Rab3c",9565.10406249334,-0.876029980862149,0.274481043815175,-3.19158645233087,0.00141493759757655,0.0495405417261755
"Bbx",802.814955625526,-0.889407088770809,0.261570303672835,-3.40026018352318,0.000673217608641416,0.0305754692166357
"Rasa2",1040.78145718092,-0.890023710449588,0.2780441621661,-3.20101563548707,0.00136944100849647,0.0486685737133035
"Myl7",38.210824198186,8.45677971636608,1.30268079626916,6.49182803691129,8.48010231938073e-11,2.96468321319187e-08
"Hba-x",22.055032943445,7.66206785352685,1.42328518365199,5.38336795853298,7.310488000253e-08,1.46531421477071e-05
"Hbb-y",18.264033524599,7.39027476150776,1.42391456715123,5.19011107267003,2.10168673455641e-07,3.85300691226665e-05
"Ceacam10",10.4238168154612,6.5837868821213,1.50605460412219,4.37154593472304,1.23369887558282e-05,0.00149566090295456
"Myl3",15.2721343233901,6.16151354076334,1.43155739635331,4.30406322265453,1.6769377452955e-05,0.00193918500961748
"Gm33272",194.403022701176,5.58380199091259,1.08448944267498,5.14878409248474,2.62180458527874e-07,4.74862510005967e-05
"Actc1",76.5878448660464,5.41672048007817,0.660238999339678,8.2041813426586,2.32167443264154e-16,1.29265673132964e-13
"Muc2",13.7091444807826,5.12890113485426,1.34003151560788,3.82744814216374,0.000129478651514153,0.0096480873041053
"Gm7859",29.5233877993005,4.05697604800143,0.795313185593565,5.10110497536086,3.37676194485033e-07,5.90265840894592e-05
"Tph1",99.5932719269003,3.44607015821286,0.474001165342304,7.27017233327739,3.59029171968534e-13,1.63554107339484e-10
"Gm19439",115.884408647603,3.34241638273596,0.6177681049717,5.41047094506291,6.28592215943731e-08,1.3309333496172e-05
"Thbs4",26.5150059504418,3.27588826456205,0.8399759270161,3.8999787484377,9.62011318633681e-05,0.00779847156073787
"Gm42427",65.4858382855314,3.17862404785683,0.632765612848017,5.02338303996981,5.07691472931253e-07,8.3869515522808e-05
"Krt20",15.3840543496862,3.14732354197812,0.908942082843835,3.46262275824109,0.000534937829871428,0.0261671706746366
"Ttn",24.9682592194523,2.89027721600566,0.782583503200781,3.69325088528492,0.000221405395015446,0.0140816123770431
