"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lars2",117070.547266036,-8.98973771057884,0.389368000578147,-23.0880239188392,6.10827304680114e-118,9.18256687125615e-114
"Gm53756",1342.14413782143,-6.80774542512002,0.372908640850831,-18.2557996231662,1.86066587477963e-74,1.39856950477811e-70
"Gm15564",6576.19051138288,-7.21183518920562,0.409276128272742,-17.6209524353193,1.7011660405949e-69,8.52454302942106e-66
"Gm46178",907.64307502645,-6.35450065175169,0.378451307863261,-16.790801140652,2.84972015062166e-63,1.07099607560739e-59
"Gm52512",3875.11713947996,-7.27594703831117,0.448340326729873,-16.2286250076607,3.16469307427997e-59,9.51496619713017e-56
"Doc2g",1843.7890648627,-6.12134465941153,0.395224740618232,-15.4882628294883,4.16390095923346e-54,1.04326538533594e-50
"Gm54248",10038.4276436834,-6.57017239869869,0.440072614485044,-14.9297460974409,2.11068237054874e-50,4.5328411537799e-47
"Gm53464",3479.32340710615,-6.61663353078846,0.447056408970016,-14.8004444137881,1.45517975327955e-49,2.73446465388144e-46
"Gm43828",3244.37063422129,-4.28879607453637,0.304348155566382,-14.0917432752469,4.26891875281338e-45,7.13051729011595e-42
"Gm41844",301.844711980926,-5.9870178698268,0.486597923582496,-12.3038294650918,8.63796117774263e-35,1.29854470385005e-31
"Gm45978",196.223013475029,-6.72472568602255,0.549441776968332,-12.2391961585588,1.91923976300024e-34,2.62290285065296e-31
"Gm54333",314.362701616485,-5.12827397172511,0.420141469832771,-12.206064718549,2.88509558762121e-34,3.61430349739248e-31
"Scgn",257.347341831189,-4.6591953811279,0.412866356283629,-11.2849964890991,1.55647795765485e-29,1.79988716441733e-26
"Gm26917",1253.68572824143,-4.26910375876942,0.391429311233303,-10.9064488433901,1.07369035032944e-27,1.15291335975018e-24
"Igha",308.281172084989,-4.59940856805712,0.439859233447697,-10.4565465910676,1.3674925811976e-25,1.37050106487623e-22
"Shisa3",143.499088638974,-6.80326995571977,0.654632695140091,-10.3924994981558,2.68230080007798e-25,2.52018924547327e-22
"Rn18s-rs5",46359.205441177,-19.1836961196003,1.87135615248218,-10.2512266807977,1.16851045906309e-24,1.03330692535856e-21
