"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","21/172","347/28943",2.31567115958849e-15,5.73128611998152e-12,4.22991803321342e-12,"Bst2/Dtx3l/Eif2ak2/Ifi27l2a/Ifit1/Ifitm3/Irf7/Isg15/Mx1/Mx2/Nmb/Oas3/Oasl2/Pou2af1/Rigi/Rsad2/Rtp4/Stat1/Tgtp1/Trim30a/Trim30d",21
"GO:0035456","response to interferon-beta","12/172","65/28943",4.03253600757928e-15,9.98052661875872e-12,4.22991803321342e-12,"Bst2/Gbp2/Gbp6/Gm4841/Ifit1/Ifitm3/Iigp1/Irgm2/Stat1/Tgtp1/Tgtp2/Xaf1",12
"GO:0051607","defense response to virus","18/172","289/28943",1.55743840109493e-13,3.85466004270995e-10,8.66476945350543e-11,"Bst2/Dtx3l/Eif2ak2/Ifit1/Ifitm3/Irf7/Isg15/Mx1/Mx2/Nmb/Oas3/Oasl2/Rigi/Rsad2/Rtp4/Stat1/Trim30a/Trim30d",18
"GO:0140546","defense response to symbiont","18/172","290/28943",1.65208850593681e-13,4.0889190521936e-10,8.66476945350543e-11,"Bst2/Dtx3l/Eif2ak2/Ifit1/Ifitm3/Irf7/Isg15/Mx1/Mx2/Nmb/Oas3/Oasl2/Rigi/Rsad2/Rtp4/Stat1/Trim30a/Trim30d",18
"GO:0048525","negative regulation of viral process","12/172","101/28943",9.92615656785245e-13,2.45672375054348e-09,4.16480632415367e-10,"Bst2/Eif2ak2/Ifitm3/Isg15/Ltf/Oas3/Oasl2/Parp10/Rsad2/Stat1/Trim30a/Trim30d",12
"GO:0035458","cellular response to interferon-beta","9/172","57/28943",5.27389797971353e-11,1.3052897499791e-07,1.84401380238054e-08,"Gbp2/Gbp6/Gm4841/Ifit1/Iigp1/Irgm2/Stat1/Tgtp1/Tgtp2",9
"GO:0045071","negative regulation of viral genome replication","9/172","58/28943",6.21095443112527e-11,1.5372112217035e-07,1.86141837311769e-08,"Bst2/Eif2ak2/Ifitm3/Isg15/Ltf/Oas3/Oasl2/Parp10/Rsad2",9
"GO:0050792","regulation of viral process","12/172","175/28943",6.67760690930493e-10,1.65270771005297e-06,1.75111454871641e-07,"Bst2/Eif2ak2/Ifitm3/Isg15/Ltf/Oas3/Oasl2/Parp10/Rsad2/Stat1/Trim30a/Trim30d",12
"GO:1903900","regulation of viral life cycle","11/172","151/28943",1.85202621398689e-09,4.58376487961756e-06,4.31706227424079e-07,"Bst2/Eif2ak2/Ifitm3/Isg15/Ltf/Oas3/Oasl2/Parp10/Rsad2/Trim30a/Trim30d",11
"GO:0042832","defense response to protozoan","7/172","39/28943",3.03407719657881e-09,7.50934106153255e-06,6.36517458187533e-07,"Batf2/Gbp10/Gbp2/Gbp6/Gbp9/Iigp1/Irgm2",7
