"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030016","myofibril","11/157","223/28804",4.35121932938593e-08,9.83375568441221e-06,5.28207709974912e-06,"Actc1/Ankrd1/Cryab/Krt8/Myh6/Myl3/Myl7/Obscn/Pdlim2/Sdc4/Ttn",11
"GO:0043292","contractile fiber","11/157","236/28804",7.74625727113258e-08,1.75065414327596e-05,5.28207709974912e-06,"Actc1/Ankrd1/Cryab/Krt8/Myh6/Myl3/Myl7/Obscn/Pdlim2/Sdc4/Ttn",11
"GO:0031674","I band","9/157","144/28804",1.02407617240034e-07,2.31441214962477e-05,5.28207709974912e-06,"Actc1/Ankrd1/Cryab/Krt8/Myh6/Myl3/Obscn/Pdlim2/Ttn",9
"GO:0030017","sarcomere","10/157","198/28804",1.46267827355556e-07,3.30565289823556e-05,5.65825542664913e-06,"Actc1/Ankrd1/Cryab/Krt8/Myh6/Myl3/Myl7/Obscn/Pdlim2/Ttn",10
"GO:0031672","A band","5/157","38/28804",1.95899475307614e-06,0.000442732814195207,5.06024332723885e-05,"Cryab/Myl3/Myl7/Obscn/Ttn",5
"GO:0062023","collagen-containing extracellular matrix","12/157","396/28804",1.96213516770486e-06,0.000443442547901298,5.06024332723885e-05,"Adamtsl4/Col6a2/Cspg4/Dmbt1/Htra1/Muc2/Pmp22/Reg3b/Reg3g/Sparcl1/Thbs4/Trf",12
"GO:0043209","myelin sheath","9/157","215/28804",2.96201337400305e-06,0.000669415022524689,6.54760851095411e-05,"Cldn11/Cryab/Mag/Mbp/Mobp/Mog/Omg/Pllp/Pmp22",9
"GO:0043218","compact myelin","4/157","20/28804",3.84492679407889e-06,0.000868953455461829,7.43689787802101e-05,"Mag/Mbp/Pllp/Pmp22",4
"GO:0016459","myosin complex","5/157","56/28804",1.3775445162434e-05,0.00311325060671008,0.000236840987003251,"Mlph/Myh6/Myl3/Myl7/Ttn",5
"GO:0005833","hemoglobin complex","3/157","11/28804",2.5385012897539e-05,0.00573701291484381,0.000392799673256656,"Hba-x/Hbb-bh1/Hbb-y",3
"GO:0031838","haptoglobin-hemoglobin complex","3/157","12/28804",3.37112116757017e-05,0.00761873383870858,0.000474215130749105,"Hba-x/Hbb-bh1/Hbb-y",3
"GO:0030018","Z disc","6/157","131/28804",8.49707798582887e-05,0.0192033962479732,0.00109567584554109,"Cryab/Krt8/Myh6/Obscn/Pdlim2/Ttn",6
"GO:0044304","main axon","5/157","84/28804",9.84860796177911e-05,0.0222578539936208,0.00117226345779881,"Adora2a/Dagla/Hapln2/Mag/Mbp",5
"GO:0031430","M band","3/157","19/28804",0.000144376011937673,0.0326289786979141,0.00159573486878481,"Cryab/Obscn/Ttn",3
