"gene","score","rank"
"Actc1",12.8143962509488,1
"Tph1",9.52777986252699,2
"Myl7",7.53913386951755,3
"Hba-x",4.8323198655192,4
"Gm19439",4.8019038324226,5
"Hbb-y",4.42933379949296,6
"Trf",4.3052229334413,7
"Gm33272",4.27767698572403,8
"Gm7859",4.18083662251906,9
"Mog",4.15657949638367,10
"Gm42427",4.05963549697861,11
"Pik3ip1",3.59345459065654,12
"Scn4b",3.29998923194977,13
"Mal",3.29720166549073,14
"Ttyh2",3.19530229072306,15
"Chgb",3.17912636806939,16
"Dagla",2.9548254012546,17
"Mag",2.94188909169106,18
"Selplg",2.90806734807276,19
"Ceacam10",2.81814340622567,20
"Prss23",2.78549275295176,21
"Myl3",2.70964096208297,22
"Cd82",2.67898919569098,23
"Opalin",2.55628765463198,24
"Firre",2.5557095456182,25
"Otulinl",2.52122600815328,26
"Tmem132a",2.45635286992328,27
"Tmem145",2.44628095183911,28
"Znrf3",2.44103705550994,29
"Fa2h",2.40856923046283,30
"Hexb",2.39965943868524,31
"Thpo",2.39965943868524,32
"Omg",2.36579439094682,33
"Nfe2l3",2.36091451695332,34
"Mbp",2.34055832308895,35
"Man1b1",2.32721737493464,36
"Myrf",2.32721737493464,37
"Plin4",2.2473164826356,38
"Arsg",2.22700280014282,39
"Gpr162",2.22282970631656,40
"Drd5",2.16861626465586,41
"Sparcl1",2.16511234789048,42
"Htra1",2.12641708554725,43
"Gpr37",2.12065147910611,44
"Cldn11",2.11399869478867,45
"Thbs4",2.11399869478867,46
"Paip1",2.10260458039154,47
"Pllp",2.09169197948661,48
"Lingo3",2.07842139307736,49
"Ctss",2.04277038991019,50
"Muc2",2.03215982035065,51
"Gjb1",2.01375801155778,52
"Plekhf1",1.96952060419223,53
"Ifngr1",1.95374940047444,54
"Tm9sf2",1.93547239219015,55
"Cnnm4",1.90840940476992,56
"Degs1",1.88869128605653,57
"Retreg1",1.88869128605653,58
"Csf1r",1.88279501091718,59
"Ext2",1.88279501091718,60
"Prkch",1.88279501091718,61
"Lrrn2",1.85433574895511,62
"Lrfn2",1.84948124927944,63
"P2ry12",1.84366380338729,64
"C1qb",1.84350581900426,65
"Rnase4",1.84350581900426,66
"Epdr1",1.81222614142852,67
"Ttn",1.80982911472844,68
"Mobp",1.80774821573334,69
"Stt3a",1.78914407909471,70
"Tpst2",1.78573162591643,71
"Bcas1",1.78053194725842,72
