"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gdf1",372.663403485181,11.8660179044776,1.22834087079958,9.66019953138378,4.44996387015342e-22,8.35591965718058e-19
"Gm46892",136.494530609819,10.4151266465396,1.26359714388724,8.24244237724313,1.68730384569699e-16,9.38765865557786e-14
"Myl7",60.9827655549289,9.25486251260445,1.28885287691892,7.18069740801506,6.93567046742358e-13,1.24032906859092e-10
"Gm54215",24.7638160340404,7.95170308640927,1.39109320075203,5.71615408810174,1.08961941044003e-08,4.61077824890989e-07
"Lcn2",44.9587653721246,7.84684540798284,1.38677377561582,5.6583456840308,1.52839052532693e-08,6.1388990565404e-07
"Dmbt1",18.5933726536676,7.53866768640431,1.41379406906699,5.33222472165224,9.70167732280986e-08,2.95017402314271e-06
"Reg3b",15.2376729939483,7.25376642772512,1.44820578266194,5.00879537602176,5.47717670855328e-07,1.20997277229246e-05
"Myl3",15.1708856527955,7.24779632545377,1.45811538138887,4.97066035923039,6.67252475320667e-07,1.43137223681326e-05
"Ceacam10",14.3129706753816,7.15893595756204,1.49936340050765,4.77465033169291,1.80019765878544e-06,3.3385887938611e-05
"Hba-x",18.5264892560078,6.5604410842581,1.40150902726383,4.6809838228913,2.8550147034545e-06,4.94671636393235e-05
"Ccl2",86.0050373097448,6.45358035815962,1.45234475099848,4.44355952932169,8.8482659653917e-06,0.000128922067247443
"Lt1",670.532450941582,6.19718906120392,1.41831220839803,4.36941106796479,1.2458206166269e-05,0.000170910660301089
"Muc2",13.7689726070114,6.12750857506285,1.46311184360757,4.18799738504909,2.81426758671484e-05,0.000336056658884184
"Actc1",102.697673451091,5.9806571066394,0.653310817458088,9.15438248812263,5.46695759367017e-20,6.31727976708563e-17
"Car1",18.690072017376,5.5960775119669,1.27115299334053,4.40236347731887,1.07077969231856e-05,0.00015103523509868
"Ccl7",58.9969338431944,5.47257975782648,0.93075170201694,5.87974187526855,4.10906753002118e-09,2.05071137661057e-07
"Krt19",17.2496024618651,5.24268237019298,1.28305520773319,4.0860925847886,4.38698780112188e-05,0.000483857053953398
"Slc38a11",20.1575722706966,4.58437657959118,0.991232302085273,4.6249265383573,3.74731189247675e-06,6.23390024903497e-05
"Tgm1",47.7965847204429,4.52665755190745,0.892945574731345,5.06935437052741,3.9916742070131e-07,9.44298109255918e-06
"Tph1",160.93027077379,4.45768983693939,0.596626282701329,7.47149424386138,7.92892377232428e-14,1.95259496570255e-11
"Tnfaip2",292.208210041413,4.20845248954118,1.36689239785712,3.07884694957611,0.00207803407379897,0.0108615963314572
"Gm42946",18.5886538699428,4.00600897743315,0.982535749953039,4.07721447044,4.55784480439171e-05,0.000499037497460439
"Krt8",15.1353957342811,3.97259363173964,1.05507427495839,3.76522651156129,0.000166398166582775,0.00141863408536121
"Ccl12",105.71060455285,3.73122654700603,1.20901934989401,3.08615949557229,0.00202760028753952,0.0106722535106583
"Hdc",36.6088854161785,3.42845309844952,0.904870377845424,3.78888864349053,0.000151322719879685,0.00131169642125368
"Gprin1",2724.88038037379,3.29539604033936,0.347206885011348,9.49115983178635,2.28477772783457e-21,3.43219310275309e-18
"Cebpb",58.4652640740285,3.28419791939229,0.626526218136631,5.24191617895882,1.5891756326482e-07,4.45384260329128e-06
"Gm52241",11.7234215399159,3.28113890681542,1.04221519944555,3.14823551658138,0.00164259292053609,0.00892729046754455
