"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Faim2",9522.19630872229,-0.580376353964089,0.233249620826095,-2.48821992468233,0.0128384314380593,0.0452789137184881
"Thtpa",1261.64889712986,-0.580777054816534,0.232802646049362,-2.49471844359273,0.0126057109683351,0.0446505517958807
"Ndufs1",3920.98352532519,-0.581238471226677,0.229254206406956,-2.53534484856912,0.0112336678538767,0.0408503545387456
"Pnma8a",8991.05920155918,-0.581874129390723,0.184809554231254,-3.14850675232201,0.00164106931954077,0.00892223790015978
"Tox4",3137.57571978257,-0.581999283569726,0.178374052521841,-3.26280238264174,0.00110316415525312,0.0064924242929981
"Ufl1",699.393015886034,-0.582249242649898,0.229737417994719,-2.53441188523883,0.0112636250801597,0.0409195105088654
"Tom1l2",12092.5957918772,-0.582446814787823,0.21410886512468,-2.72033021355118,0.0065216753812272,0.0267600676254562
"Rab33b",1231.04594990128,-0.582460850202198,0.230305730495843,-2.52907667103277,0.0114363041583593,0.0414566025740526
"Nol9",561.553521706181,-0.583905852063393,0.212616195009286,-2.74629057319877,0.00602733539273774,0.0251815825786978
"Mtmr4",2250.95706184686,-0.583955009610399,0.21343750569541,-2.73595311989704,0.00621998865093118,0.0258112346724553
"Fads1",1318.25501488794,-0.584076630317291,0.235897379405829,-2.47597761275875,0.0132871909548698,0.0463862845744954
"Acsl1",1050.86842565221,-0.584950633514183,0.212989613597511,-2.74638102597608,0.00602567366743043,0.0251815825786978
"Osbp2",2030.28380001225,-0.584958877444337,0.224258451423866,-2.60841396937464,0.00909628736615225,0.0346374424195401
"Ell2",817.13543830395,-0.585149359920973,0.21079497222675,-2.77591706168179,0.00550462485686591,0.0234849402442033
"Arl2bp",4921.86716843289,-0.58609118070601,0.207370964113135,-2.82629336856561,0.00470901145433123,0.0208055206079305
"Gdf1",372.663403485181,11.8660179044776,1.22834087079958,9.66019953138378,4.44996387015342e-22,8.35591965718058e-19
"Gm46892",136.494530609819,10.4151266465396,1.26359714388724,8.24244237724313,1.68730384569699e-16,9.38765865557786e-14
"Myl7",60.9827655549289,9.25486251260445,1.28885287691892,7.18069740801506,6.93567046742358e-13,1.24032906859092e-10
"Gm54215",24.7638160340404,7.95170308640927,1.39109320075203,5.71615408810174,1.08961941044003e-08,4.61077824890989e-07
"Lcn2",44.9587653721246,7.84684540798284,1.38677377561582,5.6583456840308,1.52839052532693e-08,6.1388990565404e-07
"Dmbt1",18.5933726536676,7.53866768640431,1.41379406906699,5.33222472165224,9.70167732280986e-08,2.95017402314271e-06
"Reg3b",15.2376729939483,7.25376642772512,1.44820578266194,5.00879537602176,5.47717670855328e-07,1.20997277229246e-05
"Myl3",15.1708856527955,7.24779632545377,1.45811538138887,4.97066035923039,6.67252475320667e-07,1.43137223681326e-05
"Ceacam10",14.3129706753816,7.15893595756204,1.49936340050765,4.77465033169291,1.80019765878544e-06,3.3385887938611e-05
"Hba-x",18.5264892560078,6.5604410842581,1.40150902726383,4.6809838228913,2.8550147034545e-06,4.94671636393235e-05
"Ccl2",86.0050373097448,6.45358035815962,1.45234475099848,4.44355952932169,8.8482659653917e-06,0.000128922067247443
"Lt1",670.532450941582,6.19718906120392,1.41831220839803,4.36941106796479,1.2458206166269e-05,0.000170910660301089
"Muc2",13.7689726070114,6.12750857506285,1.46311184360757,4.18799738504909,2.81426758671484e-05,0.000336056658884184
"Actc1",102.697673451091,5.9806571066394,0.653310817458088,9.15438248812263,5.46695759367017e-20,6.31727976708563e-17
"Car1",18.690072017376,5.5960775119669,1.27115299334053,4.40236347731887,1.07077969231856e-05,0.00015103523509868
