"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Faim2",9522.19630872229,-0.580376353964089,0.233249620826095,-2.48821992468233,0.0128384314380593,0.0452789137184881
"Thtpa",1261.64889712986,-0.580777054816534,0.232802646049362,-2.49471844359273,0.0126057109683351,0.0446505517958807
"Ndufs1",3920.98352532519,-0.581238471226677,0.229254206406956,-2.53534484856912,0.0112336678538767,0.0408503545387456
"Pnma8a",8991.05920155918,-0.581874129390723,0.184809554231254,-3.14850675232201,0.00164106931954077,0.00892223790015978
"Tox4",3137.57571978257,-0.581999283569726,0.178374052521841,-3.26280238264174,0.00110316415525312,0.0064924242929981
"Ufl1",699.393015886034,-0.582249242649898,0.229737417994719,-2.53441188523883,0.0112636250801597,0.0409195105088654
"Tom1l2",12092.5957918772,-0.582446814787823,0.21410886512468,-2.72033021355118,0.0065216753812272,0.0267600676254562
"Rab33b",1231.04594990128,-0.582460850202198,0.230305730495843,-2.52907667103277,0.0114363041583593,0.0414566025740526
"Nol9",561.553521706181,-0.583905852063393,0.212616195009286,-2.74629057319877,0.00602733539273774,0.0251815825786978
"Mtmr4",2250.95706184686,-0.583955009610399,0.21343750569541,-2.73595311989704,0.00621998865093118,0.0258112346724553
"Fads1",1318.25501488794,-0.584076630317291,0.235897379405829,-2.47597761275875,0.0132871909548698,0.0463862845744954
"Acsl1",1050.86842565221,-0.584950633514183,0.212989613597511,-2.74638102597608,0.00602567366743043,0.0251815825786978
"Osbp2",2030.28380001225,-0.584958877444337,0.224258451423866,-2.60841396937464,0.00909628736615225,0.0346374424195401
"Ell2",817.13543830395,-0.585149359920973,0.21079497222675,-2.77591706168179,0.00550462485686591,0.0234849402442033
"Arl2bp",4921.86716843289,-0.58609118070601,0.207370964113135,-2.82629336856561,0.00470901145433123,0.0208055206079305
"Zfp335",765.512212504526,-0.586970202687371,0.203569365799889,-2.88339161632192,0.00393418005459895,0.0180125732338267
"Gfm2",516.390251793791,-0.586976696621319,0.22406575097217,-2.61966272879529,0.008801676825256,0.0337465005791209
"Fam43b",2224.18329706792,-0.58712711140435,0.194053859933851,-3.02558841965056,0.0024814983736724,0.0124923152041913
"2610008E11Rik",475.952260949751,-0.587212642949615,0.228335804535165,-2.57170636968229,0.0101198681615354,0.0377128899832759
"Cnr1",1721.09403042159,-0.587658187537696,0.239213244708463,-2.45662897242122,0.0140247450177555,0.0482563988901815
"Ppip5k2",700.936425532967,-0.58822303063642,0.216058811866583,-2.72251349322263,0.00647873876747549,0.0266558916440406
"Yars1",3740.41162918962,-0.588436844720716,0.237739422385898,-2.47513365185841,0.0133186324060033,0.0464432833270948
"Mfn2",10363.9509035021,-0.588470017680618,0.211056451468919,-2.78821146468142,0.00529999358016136,0.0227866352493371
"Dscaml1",668.903106431771,-0.588504154689037,0.215038761975799,-2.73673522523008,0.00620522145062567,0.0257817018264127
"Ciz1",1214.80389862315,-0.589036461457311,0.195065720802171,-3.01968207963455,0.00253040144385756,0.0126855279663471
"Nrdc",2300.81621919805,-0.58977120132742,0.225773924502995,-2.61222017832974,0.00899562988360629,0.0343324065324018
"Frs2",1327.50727840998,-0.5903508726426,0.206822609202705,-2.85438267565806,0.0043120555562234,0.0193533607904356
"Nmnat1",333.219482957398,-0.590785498335901,0.242094583167959,-2.44030862072626,0.0146747191302388,0.0499985554035944
"Pogk",869.842705264353,-0.591025104947925,0.202459740496731,-2.9192228711637,0.00350905245319813,0.0164727647725656
"Prkaa1",991.811230626713,-0.591418462523362,0.22360240576128,-2.64495572178577,0.00817016072907763,0.031903341427659
"Cars2",447.079083327668,-0.592083497199119,0.222115645286358,-2.66565417503926,0.00768386899341717,0.0304476602529973
"Fbxo42",2099.09694480381,-0.592394042516201,0.218281814912059,-2.71389553341795,0.00664971322653023,0.0271888927841418
"1810030O07Rik",916.693473719094,-0.592409690363707,0.229190910369722,-2.58478702060241,0.00974391660871468,0.036538471117352
"Pi4kb",998.929157104155,-0.592550003525511,0.2294231290985,-2.58278232824166,0.00980071362918439,0.036687346159384
"Ippk",1099.07225638829,-0.592576967220005,0.215204765148286,-2.75354947095011,0.00589528597072896,0.0247371468861147
"Rnf19a",1500.05631304427,-0.59270040055139,0.21200011568103,-2.79575508082812,0.00517786231593318,0.022361573849346
