"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lars2",60312.675578742,-7.57689031496838,0.322383733759041,-23.5027066242479,3.82692968950196e-122,5.74881377956984e-118
"Rn18s-rs5",22400.3070691352,-18.0126712095353,1.33745756964435,-13.4678449756916,2.4182136916597e-41,1.8163203038056e-37
"Gm53756",1138.82102111158,-5.33982916864452,0.427782180570271,-12.4825890632613,9.29154013403676e-36,4.65258386311667e-32
"Gm13394",304.894389766253,-3.86082118433411,0.324364810157087,-11.9027128203715,1.14561433632505e-32,4.30235464006874e-29
"Gm53808",43797.2144701339,-12.2374303101023,1.06438997314118,-11.4971303929027,1.36374300380062e-30,4.09722948061858e-27
"Gm46178",680.200962552191,-4.38061850355813,0.42567354739443,-10.2910282548026,7.73459395470113e-25,1.93648450645867e-21
"Hnrnpa0",2022.90231220826,2.03063353511381,0.200770563274132,10.1141995220743,4.77907601955653e-24,1.02558971379683e-20
"Gdf1",372.663403485181,11.8660179044776,1.22834087079958,9.66019953138378,4.44996387015342e-22,8.35591965718058e-19
"Trnp1",1831.77413054187,2.37110633518598,0.246075228599683,9.63569697234058,5.65072139100614e-22,9.43168185952158e-19
"Gprin1",2724.88038037379,3.29539604033936,0.347206885011348,9.49115983178635,2.28477772783457e-21,3.43219310275309e-18
"Thy1",2798.77246077811,2.41546825939677,0.258479568982055,9.34490980818862,9.19678218043539e-21,1.25594601740455e-17
"Gm53464",16393.3720369846,-9.42599741930543,1.01531789042922,-9.28378935125494,1.6355589835429e-20,2.04744725423179e-17
"Actc1",102.697673451091,5.9806571066394,0.653310817458088,9.15438248812263,5.46695759367017e-20,6.31727976708563e-17
"Gm39876",3423.28821162701,2.35406668965199,0.258847422917904,9.09441810590716,9.50943089027947e-20,8.92816692711113e-17
"Gm52512",18807.9533737314,-9.73769026880019,1.06983695051293,-9.10203210323917,8.86572217587459e-20,8.92816692711113e-17
"Ipo11",868.612018617538,-3.19986373867035,0.351739686162456,-9.09724965522497,9.26482095411168e-20,8.92816692711113e-17
