"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","80/2082","146/28943",2.39056326061865e-52,1.43170833678451e-48,9.8893827518224e-49,"Cpeb3/Denr/Dhx9/Eif2s2/Eif4a2/Fau/Hnrnpd/Mcts1/Mcts2/Paip1/Rpl11/Rpl12/Rpl13/Rpl13a/Rpl14/Rpl17/Rpl18/Rpl18a/Rpl19/Rpl21/Rpl22/Rpl22l1/Rpl23/Rpl23a/Rpl24/Rpl26/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl30/Rpl31/Rpl32/Rpl34/Rpl35a/Rpl36/Rpl36a/Rpl37a/Rpl38/Rpl39/Rpl41/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Rplp2/Rps10/Rps11/Rps12/Rps13/Rps14/Rps15/Rps15a/Rps16/Rps17/Rps18/Rps19/Rps2/Rps20/Rps21/Rps23/Rps24/Rps25/Rps26/Rps27a/Rps28/Rps29/Rps3/Rps3a1/Rps4x/Rps5/Rps6/Rps7/Rps8/Rps9/Rpsa/Uba52",80
"GO:0006119","oxidative phosphorylation","60/2082","140/28943",8.79372562642085e-32,5.26656227766345e-28,1.81891272167547e-28,"Antkmt/Chchd10/Chchd2/Coa6/Coq7/COX1/COX2/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox6a2/Cox7a1/Cox7a2/Cox7a2l/Cox7c/Dnajc15/Gadd45gip1/Iscu/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa13/Ndufa2/Ndufa3/Ndufa5/Ndufa6/Ndufa7/Ndufa8/Ndufab1/Ndufb1/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufv3/Nupr1/Park7/Snca/Uqcc2/Uqcc3/Uqcr10/Uqcr11/Uqcrb/Uqcrh/Uqcrq",60
"GO:0045333","cellular respiration","75/2082","245/28943",5.64168193703731e-28,3.37880331209165e-24,5.94684674230014e-25,"Akt1/Antkmt/Arl2/Bax/Bloc1s1/Cbfa2t3/Chchd10/Chchd2/Cisd1/Coa6/Coq10a/Coq10b/Coq7/COX1/COX2/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox6a2/Cox7a1/Cox7a2/Cox7a2l/Cox7c/Dnajc15/Etfb/Gadd45gip1/Iscu/Mrps36/Mtln/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa13/Ndufa2/Ndufa3/Ndufa5/Ndufa6/Ndufa7/Ndufa8/Ndufab1/Ndufb1/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufv3/Nupr1/Park7/Pik3ca/Prkaca/Pum2/Sdhaf4/Snca/Uqcc2/Uqcc3/Uqcr10/Uqcr11/Uqcrb/Uqcrh/Uqcrq",75
"GO:0009060","aerobic respiration","65/2082","187/28943",5.75013171011209e-28,3.44375388118613e-24,5.94684674230014e-25,"Akt1/Antkmt/Arl2/Bloc1s1/Cbfa2t3/Chchd10/Chchd2/Coa6/Coq7/COX1/COX2/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox6a2/Cox7a1/Cox7a2/Cox7a2l/Cox7c/Dnajc15/Gadd45gip1/Iscu/Mrps36/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa13/Ndufa2/Ndufa3/Ndufa5/Ndufa6/Ndufa7/Ndufa8/Ndufab1/Ndufb1/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufv3/Nupr1/Park7/Snca/Uqcc2/Uqcc3/Uqcr10/Uqcr11/Uqcrb/Uqcrh/Uqcrq",65
"GO:0015980","energy derivation by oxidation of organic compounds","86/2082","337/28943",1.14451638196413e-25,6.8545086115832e-22,9.46936711814536e-23,"Adrb1/Akt1/Antkmt/Arl2/Bax/Bloc1s1/Cbfa2t3/Chchd10/Chchd2/Cisd1/Coa6/Coq10a/Coq10b/Coq7/COX1/COX2/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox6a2/Cox7a1/Cox7a2/Cox7a2l/Cox7c/Dnajc15/Dyrk2/Epm2a/Esrrb/Etfb/Gadd45gip1/Gnas/Gsk3a/Gsk3b/Hmgb1/Iscu/Mrps36/Mt3/Mtln/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa13/Ndufa2/Ndufa3/Ndufa5/Ndufa6/Ndufa7/Ndufa8/Ndufab1/Ndufb1/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufv3/Nupr1/Park7/Pik3ca/Prkaca/Ptges3/Pum2/S100b/Sdhaf4/Snca/Uqcc2/Uqcc3/Uqcr10/Uqcr11/Uqcrb/Uqcrh/Uqcrq",86
"GO:0033108","mitochondrial respiratory chain complex assembly","43/2082","94/28943",1.42783033874586e-24,8.55127589874893e-21,9.8445144408267e-22,"Chchd7/Coa3/Coa4/Cox14/Cox16/Cox17/Cox20/Dmac1/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa2/Ndufa3/Ndufa5/Ndufa6/Ndufa8/Ndufab1/Ndufaf2/Ndufaf8/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb4b/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Pet100/Sdhaf4/Surf1/Uqcc2/Uqcc3",43
"GO:0006091","generation of precursor metabolites and energy","97/2082","465/28943",8.97925312119183e-22,5.37767469428179e-18,5.30653605508029e-19,"Adrb1/Akt1/Antkmt/Arl2/Bax/Bloc1s1/Cbfa2t3/Chchd10/Chchd2/Cisd1/Coa6/Coq10a/Coq10b/Coq7/COX1/Cox17/COX2/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox6a2/Cox7a1/Cox7a2/Cox7a2l/Cox7c/Dnajc15/Dyrk2/Epm2a/Esrrb/Etfb/Fdx1/Fdx2/Foxk1/Foxk2/Gadd45gip1/Git1/Gnas/Gsk3a/Gsk3b/Hmgb1/Ier3/Iscu/Mrps36/Mt3/Mtln/Ncor1/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa13/Ndufa2/Ndufa3/Ndufa4/Ndufa5/Ndufa6/Ndufa7/Ndufa8/Ndufab1/Ndufb1/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufv3/Nupr1/Park7/Pik3ca/Prkaca/Ptges3/Pum2/Rpia/S100b/Sdhaf4/Snca/Uqcc2/Uqcc3/Uqcr10/Uqcr11/Uqcrb/Uqcrh/Uqcrq/Zbtb7a",97
"GO:0010257","NADH dehydrogenase complex assembly","31/2082","58/28943",1.1463751627802e-20,6.86564084989063e-17,5.26930337979672e-18,"Dmac1/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa2/Ndufa3/Ndufa5/Ndufa6/Ndufa8/Ndufab1/Ndufaf2/Ndufaf8/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb4b/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7",31
"GO:0032981","mitochondrial respiratory chain complex I assembly","31/2082","58/28943",1.1463751627802e-20,6.86564084989063e-17,5.26930337979672e-18,"Dmac1/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa2/Ndufa3/Ndufa5/Ndufa6/Ndufa8/Ndufab1/Ndufaf2/Ndufaf8/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb4b/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7",31
"GO:0022613","ribonucleoprotein complex biogenesis","88/2082","418/28943",3.82278721464027e-20,2.28946726284806e-16,1.58142671089855e-17,"Ago1/Ago2/C1d/Cdc73/Celf2/Celf5/Denr/Dhx9/Eif2s2/Exosc3/Exosc7/Fbl/Fbll1/Gar1/Gpatch4/Gtf2h5/Hsp90aa1/Imp3/Lsm4/Luc7l2/Luc7l3/Malsu1/Mcts1/Mcts2/Mphosph6/Mrpl20/Mrpl22/mt-Rnr1/Naf1/Ncl/Nhp2/Nop10/Nop16/Npm1/Nsa2/Pin4/Pinx1/Pop7/Ptges3/Rbis/Rpl10/Rpl11/Rpl13a/Rpl14/Rpl23a/Rpl24/Rpl26/Rpl27/Rpl35/Rpl35a/Rpl38/Rpl5/Rpl6/Rpl7/Rpl7a/Rps14/Rps15/Rps16/Rps17/Rps19/Rps2/Rps21/Rps24/Rps25/Rps27/Rps27l/Rps28/Rps5/Rps6/Rps7/Rps8/Rpsa/Rsl24d1/Snrpb/Snrpc/Snrpd1/Snrpd2/Snrpd3/Snrpe/Snrpf/Snrpg/Tent4b/Trmt112/Tsr3/Utp11/Ythdc1/Znhit6/Zrsr2",88
