"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072594","establishment of protein localization to organelle","68/1662","428/28943",2.35650385002226e-14,1.30055447482729e-10,1.07282938435224e-10,"Agk/Appl1/Atg14/Bag4/Cacng3/Cacng5/Cct3/Cct7/Cry2/Cse1l/Dusp18/Ei24/Elavl1/Fam53b/Fam53c/Glp1r/Heatr3/Hgs/Hk1/Hspa5/Ift122/Ipo11/Ipo13/Ipo4/Ipo8/Ipo9/Jup/Kpna1/Kpna2/Kpna3/Lrrk2/Lrsam1/Mapk1/Mfn2/Mipep/Mon1b/Ncoa4/Nedd4/Nup88/Pex1/Pex13/Pik3r2/Pkia/Pmpca/Pola2/Pot1a/Prickle1/Prkaa1/Psen1/Rab23/Rab3gap2/Rab8b/Ranbp2/Ranbp6/Sec61a1/Sec61a2/Sgtb/Spcs3/Sqstm1/Srp54b/Srp54c/Stam/Stk4/Timm29/Tram1/Tsc2/Vps41/Zfand2a",68
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","67/1662","438/28943",2.30530277769097e-13,1.27229660300765e-09,5.2475971123755e-10,"Appbp2/Arel1/Arih2/Atg7/Bbs7/Birc2/Ccar2/Cdc16/Cdc23/Chfr/Crbn/Cul1/Cul2/Cul4a/Dcaf12/Ddb1/Dtl/Fbxl5/Fbxo27/Fbxo38/Fem1c/Foxred2/Gid4/Hace1/Hectd3/Hspa5/Itch/Kbtbd7/Klhl15/Lrrk2/Ltn1/Mapk9/Mdm2/Nedd4/Nhlrc3/Ogt/Peli1/Pias1/Plk2/Prickle1/Psen1/Psmd2/Rffl/Rnf14/Rnf180/Rnf185/Rnf19a/Rnf4/Sgtb/Siah1b/Skp2/Spop/Stt3b/Svip/Syvn1/Topors/Trib2/Trim9/Ube2j1/Ube4a/Ubqln1/Ubxn2b/Ubxn7/Usp14/Usp19/Xpo1/Zfand2a",67
"GO:0048193","Golgi vesicle transport","49/1662","278/28943",2.1041093980173e-12,1.16125797676575e-08,3.19307829699116e-09,"Ap1g1/Arcn1/Atp2c1/Bbs1/Blzf1/Ccdc22/Cln3/Cog1/Cog2/Cog4/Cog7/Cog8/Copa/Copg2/Cyth3/Dop1a/Ergic1/Exoc1/Exoc2/Exoc5/Exoc6/Exoc6b/Gak/Gbf1/Golga5/Gosr1/Lman2/Lrrk2/Nrbp1/Pitpnb/Preb/Prepl/Prkci/Rab31/Rab8b/Rint1/Rp2/Scyl1/Sec31a/Slc30a6/Tbc1d14/Tfg/Tmem115/Trappc11/Vps35l/Vps41/Vps51/Vti1a/Zw10",49
"GO:0016236","macroautophagy","45/1662","249/28943",6.85705385937429e-12,3.78440802498867e-08,7.80440998468258e-09,"Arl8b/Atg13/Atg14/Atg4b/Atg7/Atg9a/Atp6v0a1/Cln3/Ei24/Gnai3/Hdac6/Lgals8/Lrrk2/Lrsam1/Mcoln1/Mfn2/Mtor/Nbr1/Ogt/Pafah1b2/Psen1/Rab23/Rab3gap2/Rab43/Retreg3/Rimoc1/Sesn1/Sesn2/Sqstm1/Supt5/Tbc1d14/Tbc1d25/Tbk1/Trp53inp1/Trp53inp2/Tsc2/Ubqln1/Ubxn2b/Vmp1/Vps16/Vps33a/Vps41/Vps4b/Vti1a/Wdr24",45
"GO:0006914","autophagy","66/1662","469/28943",1.60904847555585e-11,8.88033853659272e-08,1.22090081697878e-08,"Arl8b/Arsb/Atg13/Atg14/Atg4b/Atg4c/Atg7/Atg9a/Atp6v0a1/Cln3/Cttn/Dcaf12/Ei24/Eif4g2/Flcn/Gnai3/Gpr137b/Hdac6/Lgals8/Lrrk2/Lrsam1/Mcoln1/Mfn2/Mtmr4/Mtor/Nbr1/Ogt/Pafah1b2/Pik3r2/Plk2/Prkaa1/Psen1/Rab23/Rab3gap2/Rab43/Retreg3/Rimoc1/Rmc1/Rnf185/Rragb/Sesn1/Sesn2/Slc25a46/Sqstm1/Supt5/Svip/Tbc1d14/Tbc1d17/Tbc1d25/Tbk1/Trp53inp1/Trp53inp2/Tsc2/Ubqln1/Ubxn2b/Usp10/Vmp1/Vps16/Vps33a/Vps41/Vps4b/Vps51/Vti1a/Wdr24/Wdr47/Zmpste24",66
"GO:0061919","process utilizing autophagic mechanism","66/1662","469/28943",1.60904847555585e-11,8.88033853659272e-08,1.22090081697878e-08,"Arl8b/Arsb/Atg13/Atg14/Atg4b/Atg4c/Atg7/Atg9a/Atp6v0a1/Cln3/Cttn/Dcaf12/Ei24/Eif4g2/Flcn/Gnai3/Gpr137b/Hdac6/Lgals8/Lrrk2/Lrsam1/Mcoln1/Mfn2/Mtmr4/Mtor/Nbr1/Ogt/Pafah1b2/Pik3r2/Plk2/Prkaa1/Psen1/Rab23/Rab3gap2/Rab43/Retreg3/Rimoc1/Rmc1/Rnf185/Rragb/Sesn1/Sesn2/Slc25a46/Sqstm1/Supt5/Svip/Tbc1d14/Tbc1d17/Tbc1d25/Tbk1/Trp53inp1/Trp53inp2/Tsc2/Ubqln1/Ubxn2b/Usp10/Vmp1/Vps16/Vps33a/Vps41/Vps4b/Vps51/Vti1a/Wdr24/Wdr47/Zmpste24",66
"GO:0006913","nucleocytoplasmic transport","53/1662","347/28943",7.74550052386959e-11,4.27474173912362e-07,4.40780128496526e-08,"Aaas/Abce1/Akap8l/Appl1/Cpsf6/Cry2/Cse1l/Ei24/Elavl1/Fam53b/Fam53c/Heatr3/Inpp4b/Ipo11/Ipo13/Ipo4/Ipo8/Ipo9/Jup/Kpna1/Kpna2/Kpna3/Lrrk2/Ltv1/Mapk1/Mdm2/Ncbp1/Nedd4/Nol6/Nop9/Nup88/Nxf1/Pcid2/Pik3r2/Pkd1/Pkia/Pola2/Prickle1/Psen1/Rab23/Rae1/Ranbp17/Ranbp2/Ranbp6/Riok2/Sdad1/Sqstm1/Stk4/Strada/Stradb/Thoc5/Tsc2/Xpo1",53
"GO:0051169","nuclear transport","53/1662","347/28943",7.74550052386959e-11,4.27474173912362e-07,4.40780128496526e-08,"Aaas/Abce1/Akap8l/Appl1/Cpsf6/Cry2/Cse1l/Ei24/Elavl1/Fam53b/Fam53c/Heatr3/Inpp4b/Ipo11/Ipo13/Ipo4/Ipo8/Ipo9/Jup/Kpna1/Kpna2/Kpna3/Lrrk2/Ltv1/Mapk1/Mdm2/Ncbp1/Nedd4/Nol6/Nop9/Nup88/Nxf1/Pcid2/Pik3r2/Pkd1/Pkia/Pola2/Prickle1/Psen1/Rab23/Rae1/Ranbp17/Ranbp2/Ranbp6/Riok2/Sdad1/Sqstm1/Stk4/Strada/Stradb/Thoc5/Tsc2/Xpo1",53
"GO:0034504","protein localization to nucleus","50/1662","320/28943",1.16659264155483e-10,6.43842478874108e-07,5.90118499967792e-08,"Appl1/Arl2bp/Ciz1/Cry2/Cse1l/Dclk1/Dclk3/Ei24/Elavl1/Fam53b/Fam53c/Flcn/Heatr3/Ints13/Ipo11/Ipo13/Ipo4/Ipo8/Ipo9/Jup/Kat7/Kpna1/Kpna2/Kpna3/Lats2/Lrrk2/Mapk1/Mdm2/Morc3/Nf2/Nup88/Ogt/Parp1/Pik3r2/Pkia/Plrg1/Pola2/Prickle1/Psen1/Rab23/Ranbp2/Ranbp6/Sesn2/Sqstm1/Stk4/Sun1/Topors/Tor1aip2/Tsc2/Xpo1",50
"GO:0050808","synapse organization","66/1662","496/28943",1.86009181660074e-10,1.02658467358195e-06,8.46831274399812e-08,"Afg3l2/Anapc2/Arc/Arhgap39/Arhgef9/Bhlhb9/Cacnb2/Caprin1/Cbln2/Cbln4/Cdh9/Chrdl1/Chrna7/Cln3/Clstn3/Cttn/Cyfip1/Dbn1/Dnaja3/Drp2/Epha7/Fgf13/Fgfr2/Gnpat/Hdac6/Htr1a/Il1rap/Kalrn/Lingo2/Lrfn5/Lrrc4c/Lrrk2/Lrrn1/Lrrn3/Lrrtm3/Lrtm2/Mdga1/Mdga2/Mfn2/Mtmr2/Nedd4/Nlgn3/Npas4/Nptxr/Ntng1/Numb/Opa1/Oxtr/Pak1/Pcdhgc4/Pdzrn3/Psen1/Pten/Slc1a1/Slc25a46/Slc6a1/Sorbs2/Srgap2/Stau1/Syn1/Syndig1/Taok2/Tmem108/Tsc2/Vps35/Zfp365",66
