"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044391","ribosomal subunit","124/2089","201/28804",5.02942568422556e-89,3.67148074948466e-86,2.26059449175191e-86,"Aurkaip1/Chchd1/Fau/Gadd45gip1/Malsu1/Mcts1/Mcts2/Mrpl11/Mrpl12/Mrpl13/Mrpl14/Mrpl18/Mrpl20/Mrpl21/Mrpl22/Mrpl23/Mrpl24/Mrpl27/Mrpl30/Mrpl32/Mrpl33/Mrpl34/Mrpl40/Mrpl41/Mrpl47/Mrpl51/Mrpl52/Mrpl53/Mrpl54/Mrpl55/Mrpl57/Mrpl58/Mrps12/Mrps14/Mrps16/Mrps18c/Mrps21/Mrps25/Mrps26/Mrps28/Mrps33/Mrps34/Mrps35/Mrps6/mt-Rnr1/Ndufab1/Npm1/Rack1/Rpl10/Rpl11/Rpl12/Rpl13/Rpl13a/Rpl14/Rpl17/Rpl18/Rpl18a/Rpl19/Rpl21/Rpl22/Rpl23/Rpl23a/Rpl24/Rpl26/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl30/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl36/Rpl36a/Rpl36al/Rpl37/Rpl37a/Rpl38/Rpl39/Rpl41/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Rplp2/Rps10/Rps11/Rps12/Rps13/Rps14/Rps15/Rps15a/Rps16/Rps17/Rps18/Rps19/Rps2/Rps20/Rps21/Rps23/Rps24/Rps25/Rps26/Rps27/Rps27a/Rps27l/Rps28/Rps29/Rps3/Rps3a1/Rps4x/Rps5/Rps6/Rps7/Rps8/Rps9/Rpsa/Uba52/Zcchc17",124
"GO:0005840","ribosome","133/2089","236/28804",3.17847975000232e-88,2.32029021750169e-85,7.14321501711047e-86,"Aurkaip1/Btf3/Chchd1/Dhx9/Fau/Gadd45gip1/Larp1/Larp4b/Malsu1/Mcts1/Mcts2/Mrpl11/Mrpl12/Mrpl13/Mrpl14/Mrpl18/Mrpl20/Mrpl21/Mrpl22/Mrpl23/Mrpl24/Mrpl27/Mrpl30/Mrpl32/Mrpl33/Mrpl34/Mrpl40/Mrpl41/Mrpl47/Mrpl51/Mrpl52/Mrpl53/Mrpl54/Mrpl55/Mrpl57/Mrpl58/Mrps12/Mrps14/Mrps16/Mrps18c/Mrps21/Mrps25/Mrps26/Mrps28/Mrps33/Mrps34/Mrps35/Mrps6/mt-Rnr1/Mt3/Ndufa7/Ndufab1/Npm1/Rack1/Rpl10/Rpl11/Rpl12/Rpl13/Rpl13a/Rpl14/Rpl17/Rpl18/Rpl18a/Rpl19/Rpl21/Rpl22/Rpl22l1/Rpl23/Rpl23a/Rpl24/Rpl26/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl30/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl36/Rpl36a/Rpl36al/Rpl37/Rpl37a/Rpl38/Rpl39/Rpl41/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Rplp2/Rps10/Rps11/Rps12/Rps13/Rps14/Rps15/Rps15a/Rps16/Rps17/Rps18/Rps19/Rps2/Rps20/Rps21/Rps23/Rps24/Rps25/Rps26/Rps27/Rps27a/Rps27l/Rps28/Rps29/Rps3/Rps3a1/Rps4x/Rps5/Rps6/Rps7/Rps8/Rps9/Rpsa/Rsl24d1/Snca/Uba52/Zcchc17",133
"GO:0022626","cytosolic ribosome","79/2089","112/28804",5.68487337899787e-64,4.14995756666844e-61,8.51733660642838e-62,"Fau/Mcts1/Mcts2/Rpl10/Rpl11/Rpl12/Rpl13/Rpl13a/Rpl14/Rpl17/Rpl18/Rpl18a/Rpl19/Rpl21/Rpl22/Rpl23/Rpl23a/Rpl24/Rpl26/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl30/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl36/Rpl36a/Rpl36al/Rpl37/Rpl37a/Rpl38/Rpl39/Rpl41/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Rplp2/Rps10/Rps11/Rps12/Rps13/Rps14/Rps15/Rps15a/Rps16/Rps17/Rps18/Rps19/Rps2/Rps20/Rps21/Rps23/Rps24/Rps25/Rps26/Rps27/Rps27a/Rps27l/Rps28/Rps29/Rps3/Rps3a1/Rps4x/Rps5/Rps6/Rps7/Rps8/Rps9/Rpsa/Uba52/Zcchc17",79
"GO:0098798","mitochondrial protein-containing complex","115/2089","291/28804",5.41734066388504e-55,3.95465868463608e-52,6.08738016704977e-53,"AA467197/Aurkaip1/Bax/Chchd1/Chchd10/COX1/COX2/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox6a2/Cox6b1/Cox6c/Cox7a2/Cox7b/Cox7c/Cox8a/Dmac1/Dnajc15/Dnajc19/Etfb/Gadd45gip1/Hsd17b10/Malsu1/Micos10/Micos13/Micu3/Mrpl11/Mrpl12/Mrpl13/Mrpl14/Mrpl18/Mrpl20/Mrpl21/Mrpl22/Mrpl23/Mrpl24/Mrpl27/Mrpl30/Mrpl32/Mrpl33/Mrpl34/Mrpl40/Mrpl41/Mrpl47/Mrpl51/Mrpl52/Mrpl53/Mrpl54/Mrpl55/Mrpl57/Mrpl58/Mrps12/Mrps14/Mrps16/Mrps18c/Mrps21/Mrps25/Mrps26/Mrps28/Mrps33/Mrps34/Mrps35/Mrps36/Mrps6/mt-Rnr1/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa13/Ndufa2/Ndufa3/Ndufa4/Ndufa5/Ndufa6/Ndufa7/Ndufa8/Ndufab1/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb4b/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufv3/Pam16/Romo1/Smdt1/Timm10/Timm10b/Timm13/Tomm22/Tomm5/Tomm6/Tomm7/Uqcc3/Uqcr10/Uqcr11/Uqcrb/Uqcrh/Uqcrq",115
"GO:0015934","large ribosomal subunit","74/2089","123/28804",2.52590964173323e-52,1.84391403846526e-49,2.27065982530545e-50,"Gadd45gip1/Malsu1/Mrpl11/Mrpl12/Mrpl13/Mrpl14/Mrpl18/Mrpl20/Mrpl21/Mrpl22/Mrpl23/Mrpl24/Mrpl27/Mrpl30/Mrpl32/Mrpl33/Mrpl34/Mrpl40/Mrpl41/Mrpl47/Mrpl51/Mrpl52/Mrpl53/Mrpl54/Mrpl55/Mrpl57/Mrpl58/Ndufab1/Npm1/Rpl10/Rpl11/Rpl12/Rpl13/Rpl13a/Rpl14/Rpl17/Rpl18/Rpl18a/Rpl19/Rpl21/Rpl22/Rpl23/Rpl23a/Rpl24/Rpl26/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl30/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl36/Rpl36a/Rpl36al/Rpl37/Rpl37a/Rpl38/Rpl39/Rpl41/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Rplp2/Rps12/Uba52/Zcchc17",74
"GO:0005746","mitochondrial respirasome","55/2089","85/28804",1.05115984761285e-41,7.67346688757383e-39,7.87447815667875e-40,"AA467197/COX1/COX2/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox6a2/Cox6b1/Cox6c/Cox7a1/Cox7a2/Cox7a2l/Cox7b/Cox7c/Cox8a/Dmac1/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa13/Ndufa2/Ndufa3/Ndufa4/Ndufa5/Ndufa6/Ndufa7/Ndufa8/Ndufab1/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb4b/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufv3/Uqcc3/Uqcr10/Uqcr11/Uqcrb/Uqcrh/Uqcrq",55
"GO:0070469","respirasome","57/2089","95/28804",1.72311616551155e-40,1.25787480082343e-37,1.10642195890741e-38,"AA467197/Coa6/COX1/COX2/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox6a2/Cox6b1/Cox6c/Cox7a1/Cox7a2/Cox7a2l/Cox7b/Cox7c/Cox8a/Dmac1/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa13/Ndufa2/Ndufa3/Ndufa4/Ndufa5/Ndufa6/Ndufa7/Ndufa8/Ndufab1/Ndufb1/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb4b/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufv3/Uqcc3/Uqcr10/Uqcr11/Uqcrb/Uqcrh/Uqcrq",57
"GO:0015935","small ribosomal subunit","53/2089","83/28804",8.71905150429511e-40,6.36490759813543e-37,4.89873025307107e-38,"Aurkaip1/Chchd1/Fau/Mcts1/Mcts2/Mrps12/Mrps14/Mrps16/Mrps18c/Mrps21/Mrps25/Mrps26/Mrps28/Mrps33/Mrps34/Mrps35/Mrps6/mt-Rnr1/Npm1/Rack1/Rps10/Rps11/Rps12/Rps13/Rps14/Rps15/Rps15a/Rps16/Rps17/Rps18/Rps19/Rps2/Rps20/Rps21/Rps23/Rps24/Rps25/Rps26/Rps27/Rps27a/Rps27l/Rps28/Rps29/Rps3/Rps3a1/Rps4x/Rps5/Rps6/Rps7/Rps8/Rps9/Rpsa/Uba52",53
"GO:0098803","respiratory chain complex","54/2089","87/28804",1.50354778402552e-39,1.09758988233863e-36,7.50894624302804e-38,"AA467197/Coa6/COX1/COX2/Cox4i1/Cox5a/Cox5b/Cox6a1/Cox6a2/Cox6b1/Cox6c/Cox7a2/Cox7b/Cox7c/Cox8a/Dmac1/ND1/ND4/Ndufa1/Ndufa11/Ndufa12/Ndufa13/Ndufa2/Ndufa3/Ndufa4/Ndufa5/Ndufa6/Ndufa7/Ndufa8/Ndufab1/Ndufb10/Ndufb11/Ndufb2/Ndufb3/Ndufb4/Ndufb4b/Ndufb5/Ndufb6/Ndufb7/Ndufb8/Ndufb9/Ndufc1/Ndufc2/Ndufs4/Ndufs5/Ndufs6/Ndufs7/Ndufv3/Uqcc3/Uqcr10/Uqcr11/Uqcrb/Uqcrh/Uqcrq",54
"GO:0022625","cytosolic large ribosomal subunit","45/2089","63/28804",2.39466438042055e-37,1.748104997707e-34,1.07633862151534e-35,"Rpl10/Rpl11/Rpl12/Rpl13/Rpl13a/Rpl14/Rpl17/Rpl18/Rpl18a/Rpl19/Rpl21/Rpl22/Rpl23/Rpl23a/Rpl24/Rpl26/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl30/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl36/Rpl36a/Rpl36al/Rpl37/Rpl37a/Rpl38/Rpl39/Rpl41/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Rplp2/Rps12/Uba52/Zcchc17",45
