"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099023","vesicle tethering complex","21/1649","71/28804",2.49259769280021e-10,1.67502564956174e-07,1.20956582776937e-07,"Cog1/Cog2/Cog4/Cog7/Cog8/Exoc1/Exoc2/Exoc5/Exoc6/Exoc6b/Exoc7/Rint1/Tmem115/Trappc11/Vipas39/Vps16/Vps33a/Vps33b/Vps41/Vps51/Zw10",21
"GO:0005759","mitochondrial matrix","45/1649","293/28804",1.55615050599571e-09,1.04573314002912e-06,3.77571254349486e-07,"Abat/Acot11/Ak3/Alas1/Aldh2/Bckdk/Ccar2/Clpx/Cs/Dhx30/Dlat/Dld/Dnaja3/Elac2/Eral1/Etfdh/Fastkd2/Fastkd5/Hadha/Hadhb/Idh3a/Lrpprc/Lrrc59/Lrrk2/Mccc1/Mief1/Mipep/Mthfd2l/Nsun3/Ogdhl/Pcca/Pcx/Pdha1/Pdhx/Pdk2/Pitrm1/Polg/Polrmt/Prorp/Ptcd1/Ptcd3/Shmt2/Supv3l1/Tdrd7/Trap1",45
"GO:0000139","Golgi membrane","43/1649","284/28804",5.53614076529764e-09,3.72028659428001e-06,8.95495050106039e-07,"Aph1b/Atg9a/Atp2c1/B3galnt2/B3gnt2/B4galnt1/Blzf1/Casd1/Chst10/Cln3/Copg2/Entpd4b/Ergic1/Ext2/Fut10/Gba2/Gnai3/Golga5/Gosr1/Hace1/Hid1/Ica1/Inpp5e/Lman2/Manea/Mbtps1/Mgat2/Mmgt1/Naa60/Ncstn/Pcsk7/Pitpnb/Psen1/Rfng/Scyl3/Sgms1/Slc35a4/Slc35a5/Slc35b4/Tvp23a/Ubiad1/Wls/Zdhhc13",43
"GO:0032039","integrator complex","10/1649","18/28804",1.05492065695675e-08,7.08906681474935e-06,1.27978532330805e-06,"Ints10/Ints13/Ints14/Ints3/Ints4/Ints5/Ints6/Ints7/Ints8/Ints9",10
"GO:0009295","nucleoid","15/1649","48/28804",3.96333244778733e-08,2.66335940491308e-05,3.20543203233326e-06,"Clpx/Dhx30/Dnaja3/Elac2/Fastkd2/Fastkd5/Hadha/Hadhb/Lrpprc/Lrrc59/Polg/Polrmt/Prorp/Shmt2/Supv3l1",15
"GO:0042645","mitochondrial nucleoid","15/1649","48/28804",3.96333244778733e-08,2.66335940491308e-05,3.20543203233326e-06,"Clpx/Dhx30/Dnaja3/Elac2/Fastkd2/Fastkd5/Hadha/Hadhb/Lrpprc/Lrrc59/Polg/Polrmt/Prorp/Shmt2/Supv3l1",15
"GO:0031300","intrinsic component of organelle membrane","51/1649","408/28804",1.4592721376282e-07,9.80630876486153e-05,1.01161572247609e-05,"Abcb6/Afg3l2/Agk/Ankle2/Armcx3/Atp13a1/Atp2c1/Atp6v0a1/B4galnt1/Casd1/Chrna7/Cln3/Dusp18/Elovl2/Elovl4/Entpd4b/Ergic1/Ero1a/Etfdh/Fitm2/Ghitm/Gpat4/Hspa5/Immt/Mfn2/Mmgt1/Pcsk7/Pdia3/Pex13/Pigg/Porcn/Preb/Rfng/Rhbdd1/Rhot1/Rnf180/Sec61a1/Sgms1/Slc35a4/Slc35a5/Slc35b4/Sun1/Sv2b/Syn1/Tmem175/Tmem43/Tram1/Tvp23a/Ubiad1/Wls/Zmpste24",51
"GO:0031301","integral component of organelle membrane","47/1649","378/28804",5.17630304868095e-07,0.00034784756487136,2.59924178134796e-05,"Abcb6/Afg3l2/Agk/Ankle2/Armcx3/Atp13a1/Atp2c1/Atp6v0a1/B4galnt1/Casd1/Chrna7/Cln3/Elovl2/Elovl4/Entpd4b/Ergic1/Ero1a/Etfdh/Fitm2/Ghitm/Gpat4/Hspa5/Immt/Mmgt1/Pcsk7/Pdia3/Pex13/Pigg/Porcn/Preb/Rfng/Rhbdd1/Rhot1/Sec61a1/Sgms1/Slc35a4/Slc35a5/Slc35b4/Sun1/Sv2b/Tmem175/Tmem43/Tram1/Tvp23a/Ubiad1/Wls/Zmpste24",47
"GO:0098984","neuron to neuron synapse","52/1649","437/28804",5.21020666602541e-07,0.000350125887956907,2.59924178134796e-05,"Adam22/Arc/Arhgef9/Atp1a3/Cacng3/Cacng5/Calb1/Camk2a/Cap2/Cdh9/Chrna7/Clstn3/Cnih2/Ctnnd1/Dbn1/Dclk1/Dgcr8/Dlg1/Drp2/Eif4g2/Epb41l3/Epha7/Gria2/Gria4/Hnrnph2/Kalrn/Kpna1/Lrfn5/Lrrc4c/Lrrtm3/Mapk1/Mtmr2/Nsmf/Numb/Pak1/Pip5k1c/Prkcg/Rnf10/Rnf19a/Sh3gl1/Slc16a7/Slc1a1/Snap47/Sorbs2/Srgap2/Syn1/Syn3/Syndig1/Tmem108/Tsc2/Usp8/Vps35",52
"GO:0031932","TORC2 complex","7/1649","11/28804",5.35635508086891e-07,0.000359947061434391,2.59924178134796e-05,"Mapkap1/Mtor/Prr5/Rictor/Sesn2/Telo2/Tti1",7
