"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","111/2046","164/28404",9.59090580491689e-87,9.91699660228407e-84,7.40014100526746e-84,"Fau/Mrpl11/Mrpl12/Mrpl13/Mrpl14/Mrpl18/Mrpl20/Mrpl21/Mrpl22/Mrpl23/Mrpl24/Mrpl27/Mrpl30/Mrpl32/Mrpl33/Mrpl34/Mrpl41/Mrpl47/Mrpl51/Mrpl52/Mrpl54/Mrpl55/Mrpl57/Mrps12/Mrps14/Mrps16/Mrps18c/Mrps21/Mrps25/Mrps34/Mrps35/Mrps6/mt-Rnr1/Ndufa7/Rpl10/Rpl11/Rpl12/Rpl13/Rpl13a/Rpl14/Rpl17/Rpl18/Rpl18a/Rpl19/Rpl21/Rpl22/Rpl22l1/Rpl23/Rpl23a/Rpl24/Rpl26/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl30/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl36/Rpl36a/Rpl36al/Rpl37/Rpl37a/Rpl38/Rpl39/Rpl41/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Rplp2/Rps10/Rps11/Rps12/Rps13/Rps14/Rps15/Rps15a/Rps16/Rps17/Rps18/Rps19/Rps2/Rps20/Rps21/Rps23/Rps24/Rps25/Rps26/Rps27/Rps27a/Rps27l/Rps28/Rps29/Rps3/Rps3a1/Rps4x/Rps5/Rps6/Rps7/Rps8/Rps9/Rpsa/Rsl24d1/Uba52",111
"GO:0003712","transcription coregulator activity","96/2046","490/28404",1.56221937386886e-19,1.61533483258041e-16,6.02687790024146e-17,"Aebp2/Akirin2/Asxl1/Atf7ip/Atn1/Atxn7l3/Basp1/Bcl3/Bcl9l/Bcorl1/Bhlhe41/Brd4/C1d/Cbfa2t3/Ccdc124/Ccnd1/Cir1/Crebbp/Crym/Ctbp1/Dhx9/Dyrk1a/Edf1/Eid1/Eid2/Elob/Eny2/Fbxl19/Gm20517/Gon4l/Hdgf/Hdgfl3/Hipk1/Hipk2/Hmgb1/Hmgb2/Irf2bp2/Jmy/Kdm1a/Kdm3b/Kmt2d/Kmt5a/Ldb1/Lmo4/Maml1/Mecp2/Med11/Med13l/Med21/Med30/Med31/Med4/Mta1/Mtdh/Mycbp/Myt1l/Naca/Ncoa1/Ncoa6/Ncor1/Nme2/Npm1/Nucks1/Nupr1/Park7/Phf10/Phf2/Prkcb/Psmd9/Rad54l2/Rap2c/Rcor1/Rere/Rsf1/Rybp/Sap30l/Sertad2/Sirt1/Ski/Spen/Sra1/Ss18l2/Ssbp3/Sub1/Tada2b/Tcf20/Tmf1/Trim24/Trim8/Trp53bp1/Wnt4/Wtip/Wwc1/Zfpm1/Zmiz2/Zxdb",96
"GO:0015453","oxidoreduction-driven active transmembrane transporter activity","26/2046","49/28404",1.94382663554481e-17,2.00991674115334e-14,4.99938569773455e-15,"COX1/COX2/Cox4i1/Cox5a/Cox6a1/Cox6a2/Cox6c/Cox7a1/Cox7a2/Cox7a2l/Cox7b/Cox7c/Cox8a/ND1/ND4/Ndufa2/Ndufa7/Ndufb7/Ndufb8/Ndufc2/Ndufs4/Ndufs7/Surf1/Uqcr11/Uqcrh/Uqcrq",26
"GO:0003729","mRNA binding","78/2046","386/28404",6.61035132813121e-17,6.83510327328767e-14,1.27510197987373e-14,"Ago2/Alyref/Celf2/Celf5/Cirbp/Cpeb3/Cstf3/Dazap1/Denr/Dhx9/Eif2s2/Eif4enif1/Elavl3/Fxr2/Hnrnpa0/Hnrnpa1/Hnrnpa3/Hnrnpd/Khdrbs3/Khsrp/Larp1/Larp4b/Lsm14b/Luc7l2/Luc7l3/Marf1/Mbd2/Mecp2/Mex3d/Mrpl12/Mrpl13/Msi1/Msi2/N4bp1/Ncl/Nhp2/Nova2/Nsrp1/Pabpc4/Park7/Pcbp1/Pcbp2/Pum2/Purb/Qki/Rbm15b/Rc3h1/Rida/Rpl13a/Rpl24/Rpl26/Rpl30/Rpl35/Rpl41/Rpl5/Rpl6/Rpl7/Rps13/Rps14/Rps2/Rps26/Rps3/Rps3a1/Rps5/Rps7/Samd4/Samd4b/Sf3b6/Slirp/Snrnp35/Spen/Srrm3/Tpr/Tsn/Upf3b/Ybx3/Ythdc1/Ythdf1",78
"GO:0019843","rRNA binding","31/2046","75/28404",1.53259940016934e-16,1.5847077797751e-13,2.36504286384027e-14,"Cavin1/Cirbp/Imp3/Mrpl11/Mrpl18/Mrpl20/Mrps18c/Mrps6/Ncl/Npm1/Rpl11/Rpl12/Rpl17/Rpl19/Rpl23/Rpl23a/Rpl37/Rpl37a/Rpl5/Rpl6/Rpl7/Rpl8/Rpl9/Rps11/Rps13/Rps14/Rps18/Rps3/Rps4x/Rps5/Rps9",31
"GO:0009055","electron transfer activity","29/2046","69/28404",8.46554372696454e-16,8.75337221368133e-13,1.08863921962544e-13,"COX1/COX2/Cox4i1/Cox5a/Cox6a1/Cox6a2/Cox6c/Cox7a1/Cox7a2/Cox7a2l/Cox7b/Cox7c/Cox8a/Etfb/Fdx1/Fdx2/ND1/ND4/Ndufa2/Ndufa7/Ndufb7/Ndufb8/Ndufc2/Ndufs4/Ndufs7/Surf1/Uqcr11/Uqcrh/Uqcrq",29
"GO:0003713","transcription coactivator activity","57/2046","261/28404",3.13032288599798e-14,3.23675386412192e-11,3.450416053288e-12,"Asxl1/Atn1/Atxn7l3/Bcl3/Bcl9l/Brd4/Ccdc124/Crebbp/Ctbp1/Dhx9/Dyrk1a/Edf1/Elob/Eny2/Gm20517/Hipk2/Hmgb1/Hmgb2/Jmy/Kdm1a/Kmt2d/Lmo4/Maml1/Med21/Med30/Med4/Mta1/Mtdh/Mycbp/Myt1l/Naca/Ncoa1/Ncoa6/Nme2/Npm1/Nucks1/Nupr1/Park7/Phf2/Prkcb/Psmd9/Rap2c/Rere/Sertad2/Sirt1/Sra1/Ss18l2/Ssbp3/Sub1/Tada2b/Tcf20/Tmf1/Trim24/Trim8/Wwc1/Zmiz2/Zxdb",57
"GO:0004129","cytochrome-c oxidase activity","14/2046","18/28404",2.25458917701136e-13,2.33124520902974e-10,2.17449192993332e-11,"COX1/COX2/Cox4i1/Cox5a/Cox6a1/Cox6a2/Cox6c/Cox7a1/Cox7a2/Cox7a2l/Cox7b/Cox7c/Cox8a/Surf1",14
"GO:0016675","oxidoreductase activity, acting on a heme group of donors","14/2046","19/28404",7.99577460433596e-13,8.26763094088338e-10,6.85485705845411e-11,"COX1/COX2/Cox4i1/Cox5a/Cox6a1/Cox6a2/Cox6c/Cox7a1/Cox7a2/Cox7a2l/Cox7b/Cox7c/Cox8a/Surf1",14
"GO:0003779","actin binding","74/2046","447/28404",1.49740707038603e-11,1.54831891077915e-08,1.15536777115048e-09,"Actr2/Arpc3/Arpc5l/Cald1/Capg/Cdk5r1/Cdk5r2/Clmn/Csrp3/Daam2/Diaph1/Dyrk1a/Enah/Epb41l1/Evl/Fhod3/Fmn1/Fmn2/Fmnl2/Gas2l2/Hdgf/Inf2/Jmy/Klhl2/Klhl3/Lmod1/Map2/Marcks/Msrb1/Mtss2/Myh6/Myh8/Myh9/Myl2/Myl3/Myl4/Mylk/Myo16/Myo1h/Nexn/Nos2/Nos3/Parvb/Pdlim2/Pfn1/Pfn2/Phactr3/Phactr4/Ppp1r9b/Prkce/S100a4/Shank3/Snca/Spire1/Sptbn5/Tagln/Tmsb10/Tmsb15b1/Tmsb15b2/Tmsb15l/Tmsb4x/Tnni1/Tnnt2/Tpm1/Tpm2/Vash1/Vasp/Wasf3/Washc1/Wasl/Whamm/Wipf1/Wipf2/Wipf3",74
