"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061659","ubiquitin-like protein ligase activity","53/1634","339/28404",3.37507987887967e-11,3.35820447948528e-08,1.04416681283845e-08,"Anapc2/Arel1/Arih2/Asb1/Birc2/Cbll1/Chfr/Cul1/Dtx2/Fbxo27/Gid4/Hace1/Hltf/Itch/Lrsam1/Ltn1/Marchf5/Marchf8/Mdm2/Med23/Med24/Nedd4/Nfx1/Nhlrc3/Pdzrn3/Peli1/Pias1/Pias2/Pja1/Ppil2/Rad18/Ranbp2/Rffl/Rlim/Rnf10/Rnf14/Rnf180/Rnf185/Rnf19a/Rnf24/Rnf4/Rnf6/Siah1b/Syvn1/Topors/Traf6/Trim26/Trim35/Trim9/Ube3b/Ube4a/Ubox5/Zfp451",53
"GO:0030695","GTPase regulator activity","61/1634","424/28404",4.01602620322482e-11,3.9959460722087e-08,1.04416681283845e-08,"Arhgap1/Arhgap26/Arhgap29/Arhgap33/Arhgap36/Arhgap39/Arhgap6/Arhgef1/Arhgef11/Arhgef3/Arhgef4/Arhgef9/Arl2bp/Chn1/Cyth3/Dennd10/Dennd1a/Dis3/Dnaja3/Dock4/Elmod1/Farp2/Flcn/Garnl3/Gdi1/Gdpgp1/Gmip/Kalrn/Kndc1/Krit1/Lrrk2/Mcf2l/Net1/Plcd4/Preb/Prr5/Rab3gap2/Racgap1/Ralgps1/Ranbp2/Rasgef1b/Rasgrf1/Rgs4/Rgs7/Ric8b/Rin1/Rp2/Rpgr/Rundc1/Sesn2/Sgsm1/Sgsm3/Sh2d3c/Srgap2/Srgap3/Tbc1d14/Tbc1d15/Tbc1d17/Tbc1d25/Tiam2/Tsc2",61
"GO:0060589","nucleoside-triphosphatase regulator activity","61/1634","424/28404",4.01602620322482e-11,3.9959460722087e-08,1.04416681283845e-08,"Arhgap1/Arhgap26/Arhgap29/Arhgap33/Arhgap36/Arhgap39/Arhgap6/Arhgef1/Arhgef11/Arhgef3/Arhgef4/Arhgef9/Arl2bp/Chn1/Cyth3/Dennd10/Dennd1a/Dis3/Dnaja3/Dock4/Elmod1/Farp2/Flcn/Garnl3/Gdi1/Gdpgp1/Gmip/Kalrn/Kndc1/Krit1/Lrrk2/Mcf2l/Net1/Plcd4/Preb/Prr5/Rab3gap2/Racgap1/Ralgps1/Ranbp2/Rasgef1b/Rasgrf1/Rgs4/Rgs7/Ric8b/Rin1/Rp2/Rpgr/Rundc1/Sesn2/Sgsm1/Sgsm3/Sh2d3c/Srgap2/Srgap3/Tbc1d14/Tbc1d15/Tbc1d17/Tbc1d25/Tiam2/Tsc2",61
"GO:0140098","catalytic activity, acting on RNA","55/1634","371/28404",1.15832362970694e-10,1.15253201155841e-07,2.25873107792854e-08,"Alkbh1/Alkbh8/Angel1/Cars2/Cmtr2/Cnot1/Cpsf3/Dars2/Ddx1/Ddx20/Ddx42/Ddx50/Ddx51/Dhx16/Dhx29/Dhx30/Dhx32/Dhx33/Dhx8/Dis3/Dis3l/Elac2/Eri2/Exd2/Exog/Exosc10/Farsb/Fdxacb1/Ftsj1/G3bp1/Hars2/Lars2/Mars1/Mettl8/Mtrex/Nars2/Nop2/Nsun3/Nudt12/Parn/Pnpt1/Polr2b/Polrmt/Prorp/Pus10/Qtrt2/Rngtt/Rpap1/Sepsecs/Supv3l1/Tent2/Thumpd3/Trmt2a/Tut7/Wars1",55
"GO:0016874","ligase activity","33/1634","162/28404",1.7629331487686e-10,1.75411848302475e-07,2.75017571207901e-08,"Aacs/Aasdh/Acsbg1/Acsl1/Acsl6/Acss2/Asns/Atg7/Cars2/Ctps2/Dars2/Farsb/Gart/Gmps/Hars2/Itch/Lars2/Lig3/Mars1/Mccc1/Mdm2/Mthfd1/Nars2/Pcca/Pcx/Rimkla/Slc27a1/Ttll1/Ttll3/Ttll5/Uba3/Uba6/Wars1",33
"GO:0052866","phosphatidylinositol phosphate phosphatase activity","14/1634","30/28404",2.50237796632144e-10,2.48986607648983e-07,3.25309135621787e-08,"Fig4/Inpp4b/Inpp5e/Inpp5j/Mtmr1/Mtmr10/Mtmr11/Mtmr12/Mtmr2/Mtmr4/Mtmr6/Mtmr7/Pten/Synj2",14
"GO:0052744","phosphatidylinositol monophosphate phosphatase activity","11/1634","18/28404",4.8317619513758e-10,4.80760314161892e-07,5.38396331724732e-08,"Fig4/Mtmr1/Mtmr10/Mtmr11/Mtmr12/Mtmr2/Mtmr4/Mtmr6/Mtmr7/Pten/Synj2",11
"GO:0061630","ubiquitin protein ligase activity","49/1634","327/28404",8.17822378266801e-10,8.13733266375467e-07,7.97376818810131e-08,"Anapc2/Arel1/Arih2/Asb1/Birc2/Cbll1/Chfr/Cul1/Dtx2/Fbxo27/Gid4/Hace1/Hltf/Itch/Lrsam1/Ltn1/Marchf5/Marchf8/Mdm2/Med23/Med24/Nedd4/Nfx1/Nhlrc3/Pdzrn3/Peli1/Pja1/Ppil2/Rad18/Rffl/Rlim/Rnf10/Rnf14/Rnf180/Rnf185/Rnf19a/Rnf24/Rnf4/Rnf6/Siah1b/Syvn1/Topors/Traf6/Trim26/Trim35/Trim9/Ube3b/Ube4a/Ubox5",49
"GO:0004438","phosphatidylinositol-3-phosphatase activity","10/1634","16/28404",2.24889735691705e-09,2.23765287013247e-06,1.92141738771176e-07,"Fig4/Mtmr1/Mtmr10/Mtmr11/Mtmr12/Mtmr2/Mtmr4/Mtmr6/Mtmr7/Pten",10
"GO:0019787","ubiquitin-like protein transferase activity","59/1634","447/28404",2.46335562527149e-09,2.45103884714513e-06,1.92141738771176e-07,"Anapc2/Arel1/Arih2/Asb1/Birc2/Cbll1/Chfr/Cul1/Dtl/Dtx2/Fbxo27/Gid4/Hace1/Hectd3/Hltf/Itch/Lrsam1/Ltn1/Marchf5/Marchf8/Mdm2/Med23/Med24/Nedd4/Nfx1/Nhlrc3/Pdzrn3/Peli1/Pias1/Pias2/Pja1/Ppil2/Rad18/Ranbp2/Rffl/Rlim/Rnf10/Rnf123/Rnf14/Rnf141/Rnf180/Rnf185/Rnf19a/Rnf24/Rnf4/Rnf6/Siah1b/Syvn1/Topors/Traf6/Trim26/Trim35/Trim36/Trim9/Ube2j1/Ube3b/Ube4a/Ubox5/Zfp451",59
