"gene","score","rank"
"Hnrnpa0",20.0678257796153,1
"Gdf1",18.1215457789718,2
"Trnp1",18.0366943090673,3
"Gprin1",17.4282120852126,4
"Thy1",16.9020682231028,5
"Actc1",16.165613500719,6
"Gm39876",16.0204011544633,7
"Gm6361",16.0204011544633,8
"Foxo6",15.5555665746061,9
"Basp1",15.4053707668059,10
"Kctd2",13.3668113579624,11
"Eid2",13.3576294334679,12
"Gm14494",13.2448147265393,13
"Gm46892",13.0251660659828,14
"Spry2",13.0251660659828,15
"Bri3",12.9620072333029,16
"Kcnmb4",12.8529461020099,17
"Pabpn1",12.5735696205877,18
"Cbarp",11.8871015609467,19
"Rps27a",11.8803655709949,20
"Chmp4b",11.8034669623711,21
"Pou3f1",11.7503805361456,22
"Degs2",11.6826184160791,23
"Otulin",11.6826184160791,24
"Ppp1r12c",11.5597010325256,25
"Pcbp2",11.4831195331206,26
"Evl",11.3945130539228,27
"Zbtb4",11.1541764276248,28
"Hs3st4",11.0456717325759,29
"Rab12",10.946244081113,30
"Btbd2",10.8806007303461,31
"Alyref",10.8126140228064,32
"Ssbp3",10.7479098835184,33
"Agap3",10.741499410956,34
"Nlgn2",10.7222633398473,35
"Pum2",10.6371392232866,36
"Ksr1",10.6243518056784,37
"Syt7",10.6067580562918,38
"Tph1",10.4831554255896,39
"Smap1",10.4075267436885,40
"Gnb2",10.3789034959898,41
"Pwwp2a",10.3789034959898,42
"5730409E04Rik",10.2436735794026,43
"Ppp2cb",10.232946243704,44
"Zftraf1",10.232946243704,45
"Hnrnpul2",10.2100779937928,46
"Rab21",10.2037429895443,47
"Pi4k2a",10.1670489748821,48
"Pabpc1l2b",10.1508384014675,49
"Srf",10.1508384014675,50
"Rhou",10.0797589642897,51
"Bcl2l2",10.0381413014537,52
"Crls1",10.0272617799782,53
"Zfp316",10.0272617799782,54
"Sobp",9.99409723471969,55
"Myl7",9.91052424183606,56
"9130221H12Rik",9.87043661175763,57
"Fau",9.81079506402643,58
"Polr2k",9.78988589785932,59
"Ube2m",9.78757580707846,60
"Anp32a",9.74981360371659,61
"Dmwd",9.74981360371659,62
"Hras",9.74981360371659,63
"Rp9",9.64354731244206,64
"Smad4",9.56332917688094,65
"Ccdc85c",9.56168274504719,66
"Samd4",9.55827649002607,67
"Mbd2",9.54064024549572,68
"Igip",9.50220554649176,69
"Inf2",9.45192889557408,70
"Zbtb16",9.45192882827875,71
"Rps8",9.43748822085412,72
"Gm34039",9.4141390977993,73
"Tnk2",9.40815522764639,74
"Rpl23",9.38662299508739,75
"Gas5",9.37384441720973,76
"Mtch1",9.36908993047219,77
"Wipf2",9.36908993047219,78
"Fbxo33",9.3318331598477,79
"Ppp1r9b",9.28864010944871,80
"Scn2b",9.28864010944871,81
"Hypk",9.28779496626635,82
"Pelo",9.22399773789911,83
"Ppp4r2",9.16064598969572,84
"Wnk2",9.10301656355279,85
"Rps10",8.96615324082469,86
"Rpl15-ps3",8.96532305435908,87
"Rps24",8.9607333686053,88
"Wnk1",8.92567683918879,89
"Samd1",8.89862988755473,90
"Rnf19b",8.8456875185659,91
"Prrt1",8.80766763295682,92
"Pura",8.79121133917793,93
"D330041H03Rik",8.76391759319052,94
"Csnk1g2",8.74168494652059,95
"Rpl36a",8.71428760742427,96
"Cenpb",8.703609676379,97
"Akirin2",8.69358303159398,98
"Rplp1",8.69358303159398,99
"Thra",8.6928240762289,100
"Lrrc10b",8.6851833389365,101
"Rpl7a",8.6746849855634,102
"Plekhm2",8.61912213004353,103
"Gm19426",8.55825465147347,104
"Capns1",8.51238554683086,105
"Ube2q1",8.51157563858756,106
"Nr2f1",8.50585839041166,107
"Dact3",8.41852117304684,108
"Gnas",8.3879196353771,109
"Ccnk",8.35470931584757,110
"Rpl17",8.35470931584757,111
"Agap1",8.32715961636735,112
"Fam8a1",8.29806532403531,113
"Mapk3",8.29716067895408,114
"Bhlhe41",8.26584839176176,115
"Ppp2r5a",8.26129463610529,116
"Rpl37a",8.23657641782491,117
"Bcl11b",8.19395510356559,118
"Sap18b",8.19395510356559,119
"Cbx3",8.18477101353708,120
"Ccdc177",8.1794156427142,121
"Acot13",8.15273499532071,122
"Foxg1",8.10614097405385,123
"Naf1",8.09779587735004,124
"Rpl38",8.09779587735004,125
"Zranb1",8.08623895896159,126
"Tbcel",8.08046900490498,127
"Dvl1",8.07580158792135,128
"Nrxn2",8.07580158792135,129
"Csnk2a2",8.06173285175237,130
"Rpl35a",8.05477238659343,131
"Rpl30",7.98652894085008,132
"Rpl27",7.94076740647305,133
"Rpl19",7.93178591944541,134
"Actb",7.88237210147225,135
"Khdrbs3",7.88175243323803,136
"Sec62",7.86838375793016,137
"Socs7",7.85346221511489,138
"Bex2",7.85305469263127,139
"Cort",7.85305469263127,140
"Ndufb3",7.85305469263127,141
"Nt5dc3",7.84174893176705,142
"Cox17",7.81809853483074,143
"Magi2",7.81121379262257,144
"Otud7a",7.81121379262257,145
"Ldb1",7.75306305738511,146
"Snrpd1",7.75306040415685,147
"Gnb1",7.74856624668117,148
"Rps29",7.72906597908074,149
"Drd2",7.72253347396319,150
"Nutf2-ps1",7.70829269569595,151
"Tmsb10",7.7046416949402,152
"Rpl24",7.70048042281909,153
"Mapk8",7.69020321037598,154
"Stk39",7.66806072160732,155
"Lbh",7.65332635014941,156
"Uqcc5",7.62467762074893,157
"Cox6c",7.61443585715255,158
"Lrrc73",7.61443585715255,159
"Cadm4",7.61188250218973,160
"Ttbk1",7.58047967852329,161
"Ndufb7",7.54012691988662,162
"Sod1",7.54012691988662,163
"Zfp91",7.52723733861067,164
"Shb",7.49372136071536,165
"Rps12",7.48938031016339,166
"Snrpd3",7.48248223635558,167
"Lsm14b",7.44345086960266,168
"Ptms",7.43977010678847,169
"Rpl8",7.42953787061106,170
"Usf2",7.4285878206116,171
"Zfp628",7.41671549146646,172
"Rps21",7.40555719373131,173
"Fbll1",7.37412267591114,174
"Pip4k2b",7.36688080298663,175
"Taok1",7.28073193016982,176
"Mnt",7.26501537751429,177
"Rps28",7.26375390262326,178
"Foxk2",7.25889421245838,179
"Gm11837",7.22526466648818,180
"Zswim6",7.21431741109409,181
"Morf4l1b",7.19603582341951,182
"Rpl26",7.15577600562067,183
"Ppp3cb",7.14951658099865,184
"Cacng4",7.14196194081896,185
"Rpl35",7.13316043443072,186
"Tbca",7.11788709306665,187
"Enah",7.11420796786758,188
"Ndufa3",7.10959482561508,189
"Adap1",7.10234220458333,190
"Ptprn2",7.08407286091394,191
"Snrpb2",7.07163501201237,192
"Morf4l1-ps1",7.06127518177833,193
"Atp5me",7.06004115034108,194
"Ago1",7.03436246892427,195
"Cdkn1b",7.03005515475419,196
"Spire1",7.03005515475419,197
"Ctnnd2",7.02958494247091,198
"Mepce",7.02958494247091,199
"Sppl3",7.02958494247091,200
"Cenpv",7.00735576103352,201
"D17H6S53E",6.99974952437394,202
"Rab35",6.99360173155741,203
"Rps25",6.95977539971846,204
"Etohd2",6.95269284180431,205
"Gm38733",6.94426959630955,206
"Atp2b4",6.93644394287498,207
"Pdcd7",6.92385440871033,208
"Rpl39",6.92385440871033,209
"Tmem259",6.92385440871033,210
"Ppm1h",6.92031421002111,211
"Rpl27a",6.90848996504734,212
"Tceal5",6.89101279093171,213
"Ccdc34",6.87261652070141,214
"Rpl31",6.87261652070141,215
"Sst",6.86969751814014,216
"Phlpp2",6.85986243463527,217
"Rpl21",6.83643773759231,218
"Lst1",6.81273972940165,219
"Rps26",6.79569351913463,220
"Grk2",6.78358363626069,221
"Atxn7l3",6.74527887799158,222
"Rpl36",6.74527887799158,223
"Rps13",6.74432889662887,224
"Luc7l2",6.72807838847882,225
"Pfdn2",6.72760500068417,226
"Prune2",6.72760500068417,227
"Fxr2",6.71239803233836,228
"Gm29679",6.6871453403829,229
"Prkaca",6.6820893528484,230
"Gsk3a",6.68014532637031,231
"Prcc",6.6793725802102,232
